global_order,seed_block,within_seed_order,seed,regime,policy,training_seed,planned_run_id,windows,decision_window_ms,n_records,background,attempt,status
54,3,5,4104,natural,FSSQL-R,3104,pi3bplus_natural_fssql_r_s4104_a1,600,100.0,1,B0,1,PLANNED
55,3,6,4104,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4104_a1,600,100.0,1,B0,1,PLANNED
56,3,7,4104,natural,Static-Light,,pi3bplus_natural_static_light_s4104_a1,600,100.0,1,B0,1,PLANNED
57,3,8,4104,near_cap,Unshielded-Q,3104,pi3bplus_near_cap_unshielded_q_s4104_a1,600,100.0,1,B0,1,PLANNED
58,3,9,4104,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4104_a1,600,100.0,1,B0,1,PLANNED
59,3,10,4104,near_cap,FSSQL-R,3104,pi3bplus_near_cap_fssql_r_s4104_a1,600,100.0,1,B0,1,PLANNED
60,3,11,4104,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4104_a1,600,100.0,1,B0,1,PLANNED
61,3,12,4104,natural,Threshold,,pi3bplus_natural_threshold_s4104_a1,600,100.0,1,B0,1,PLANNED
62,3,13,4104,natural,Unshielded-Q,3104,pi3bplus_natural_unshielded_q_s4104_a1,600,100.0,1,B0,1,PLANNED
63,3,14,4104,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4104_a1,600,100.0,1,B0,1,PLANNED
64,3,15,4104,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4104_a1,600,100.0,1,B0,1,PLANNED
65,4,0,4105,near_cap,Unshielded-Q,3105,pi3bplus_near_cap_unshielded_q_s4105_a1,600,100.0,1,B0,1,PLANNED
66,4,1,4105,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4105_a1,600,100.0,1,B0,1,PLANNED
67,4,2,4105,natural,Threshold,,pi3bplus_natural_threshold_s4105_a1,600,100.0,1,B0,1,PLANNED
68,4,3,4105,natural,FSSQL-R,3105,pi3bplus_natural_fssql_r_s4105_a1,600,100.0,1,B0,1,PLANNED
69,4,4,4105,natural,Round-Robin,,pi3bplus_natural_round_robin_s4105_a1,600,100.0,1,B0,1,PLANNED
70,4,5,4105,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4105_a1,600,100.0,1,B0,1,PLANNED
71,4,6,4105,near_cap,FSSQL-R,3105,pi3bplus_near_cap_fssql_r_s4105_a1,600,100.0,1,B0,1,PLANNED
72,4,7,4105,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4105_a1,600,100.0,1,B0,1,PLANNED
73,4,8,4105,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4105_a1,600,100.0,1,B0,1,PLANNED
74,4,9,4105,natural,Static-Light,,pi3bplus_natural_static_light_s4105_a1,600,100.0,1,B0,1,PLANNED
75,4,10,4105,natural,Unshielded-Q,3105,pi3bplus_natural_unshielded_q_s4105_a1,600,100.0,1,B0,1,PLANNED
76,4,11,4105,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4105_a1,600,100.0,1,B0,1,PLANNED
77,4,12,4105,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4105_a1,600,100.0,1,B0,1,PLANNED
78,4,13,4105,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4105_a1,600,100.0,1,B0,1,PLANNED
79,4,14,4105,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4105_a1,600,100.0,1,B0,1,PLANNED
80,4,15,4105,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4105_a1,600,100.0,1,B0,1,PLANNED
81,5,0,4106,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4106_a1,600,100.0,1,B0,1,PLANNED
82,5,1,4106,natural,Threshold,,pi3bplus_natural_threshold_s4106_a1,600,100.0,1,B0,1,PLANNED
83,5,2,4106,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4106_a1,600,100.0,1,B0,1,PLANNED
84,5,3,4106,natural,Round-Robin,,pi3bplus_natural_round_robin_s4106_a1,600,100.0,1,B0,1,PLANNED
85,5,4,4106,natural,Unshielded-Q,3106,pi3bplus_natural_unshielded_q_s4106_a1,600,100.0,1,B0,1,PLANNED
86,5,5,4106,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4106_a1,600,100.0,1,B0,1,PLANNED
87,5,6,4106,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4106_a1,600,100.0,1,B0,1,PLANNED
88,5,7,4106,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4106_a1,600,100.0,1,B0,1,PLANNED
89,5,8,4106,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4106_a1,600,100.0,1,B0,1,PLANNED
90,5,9,4106,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4106_a1,600,100.0,1,B0,1,PLANNED
91,5,10,4106,natural,Static-Light,,pi3bplus_natural_static_light_s4106_a1,600,100.0,1,B0,1,PLANNED
92,5,11,4106,natural,FSSQL-R,3106,pi3bplus_natural_fssql_r_s4106_a1,600,100.0,1,B0,1,PLANNED
93,5,12,4106,near_cap,FSSQL-R,3106,pi3bplus_near_cap_fssql_r_s4106_a1,600,100.0,1,B0,1,PLANNED
94,5,13,4106,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4106_a1,600,100.0,1,B0,1,PLANNED
95,5,14,4106,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4106_a1,600,100.0,1,B0,1,PLANNED
96,5,15,4106,near_cap,Unshielded-Q,3106,pi3bplus_near_cap_unshielded_q_s4106_a1,600,100.0,1,B0,1,PLANNED
97,6,0,4107,natural,Round-Robin,,pi3bplus_natural_round_robin_s4107_a1,600,100.0,1,B0,1,PLANNED
98,6,1,4107,near_cap,Unshielded-Q,3107,pi3bplus_near_cap_unshielded_q_s4107_a1,600,100.0,1,B0,1,PLANNED
99,6,2,4107,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4107_a1,600,100.0,1,B0,1,PLANNED
100,6,3,4107,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4107_a1,600,100.0,1,B0,1,PLANNED
101,6,4,4107,natural,Unshielded-Q,3107,pi3bplus_natural_unshielded_q_s4107_a1,600,100.0,1,B0,1,PLANNED
102,6,5,4107,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4107_a1,600,100.0,1,B0,1,PLANNED
103,6,6,4107,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4107_a1,600,100.0,1,B0,1,PLANNED
104,6,7,4107,natural,Threshold,,pi3bplus_natural_threshold_s4107_a1,600,100.0,1,B0,1,PLANNED
105,6,8,4107,natural,Static-Light,,pi3bplus_natural_static_light_s4107_a1,600,100.0,1,B0,1,PLANNED
106,6,9,4107,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4107_a1,600,100.0,1,B0,1,PLANNED
107,6,10,4107,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4107_a1,600,100.0,1,B0,1,PLANNED
108,6,11,4107,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4107_a1,600,100.0,1,B0,1,PLANNED
109,6,12,4107,near_cap,FSSQL-R,3107,pi3bplus_near_cap_fssql_r_s4107_a1,600,100.0,1,B0,1,PLANNED
110,6,13,4107,natural,FSSQL-R,3107,pi3bplus_natural_fssql_r_s4107_a1,600,100.0,1,B0,1,PLANNED
111,6,14,4107,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4107_a1,600,100.0,1,B0,1,PLANNED
112,6,15,4107,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4107_a1,600,100.0,1,B0,1,PLANNED
113,7,0,4108,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4108_a1,600,100.0,1,B0,1,PLANNED
114,7,1,4108,near_cap,Unshielded-Q,3108,pi3bplus_near_cap_unshielded_q_s4108_a1,600,100.0,1,B0,1,PLANNED
115,7,2,4108,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4108_a1,600,100.0,1,B0,1,PLANNED
116,7,3,4108,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4108_a1,600,100.0,1,B0,1,PLANNED
117,7,4,4108,natural,Static-Light,,pi3bplus_natural_static_light_s4108_a1,600,100.0,1,B0,1,PLANNED
118,7,5,4108,natural,Round-Robin,,pi3bplus_natural_round_robin_s4108_a1,600,100.0,1,B0,1,PLANNED
119,7,6,4108,natural,Threshold,,pi3bplus_natural_threshold_s4108_a1,600,100.0,1,B0,1,PLANNED
120,7,7,4108,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4108_a1,600,100.0,1,B0,1,PLANNED
121,7,8,4108,natural,FSSQL-R,3108,pi3bplus_natural_fssql_r_s4108_a1,600,100.0,1,B0,1,PLANNED
122,7,9,4108,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4108_a1,600,100.0,1,B0,1,PLANNED
123,7,10,4108,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4108_a1,600,100.0,1,B0,1,PLANNED
124,7,11,4108,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4108_a1,600,100.0,1,B0,1,PLANNED
125,7,12,4108,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4108_a1,600,100.0,1,B0,1,PLANNED
126,7,13,4108,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4108_a1,600,100.0,1,B0,1,PLANNED
127,7,14,4108,near_cap,FSSQL-R,3108,pi3bplus_near_cap_fssql_r_s4108_a1,600,100.0,1,B0,1,PLANNED
128,7,15,4108,natural,Unshielded-Q,3108,pi3bplus_natural_unshielded_q_s4108_a1,600,100.0,1,B0,1,PLANNED
129,8,0,4109,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4109_a1,600,100.0,1,B0,1,PLANNED
130,8,1,4109,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4109_a1,600,100.0,1,B0,1,PLANNED
131,8,2,4109,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4109_a1,600,100.0,1,B0,1,PLANNED
132,8,3,4109,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4109_a1,600,100.0,1,B0,1,PLANNED
133,8,4,4109,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4109_a1,600,100.0,1,B0,1,PLANNED
134,8,5,4109,natural,Threshold,,pi3bplus_natural_threshold_s4109_a1,600,100.0,1,B0,1,PLANNED
135,8,6,4109,natural,Unshielded-Q,3109,pi3bplus_natural_unshielded_q_s4109_a1,600,100.0,1,B0,1,PLANNED
136,8,7,4109,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4109_a1,600,100.0,1,B0,1,PLANNED
137,8,8,4109,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4109_a1,600,100.0,1,B0,1,PLANNED
138,8,9,4109,natural,Static-Light,,pi3bplus_natural_static_light_s4109_a1,600,100.0,1,B0,1,PLANNED
139,8,10,4109,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4109_a1,600,100.0,1,B0,1,PLANNED
140,8,11,4109,natural,Round-Robin,,pi3bplus_natural_round_robin_s4109_a1,600,100.0,1,B0,1,PLANNED
141,8,12,4109,near_cap,Unshielded-Q,3109,pi3bplus_near_cap_unshielded_q_s4109_a1,600,100.0,1,B0,1,PLANNED
142,8,13,4109,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4109_a1,600,100.0,1,B0,1,PLANNED
143,8,14,4109,natural,FSSQL-R,3109,pi3bplus_natural_fssql_r_s4109_a1,600,100.0,1,B0,1,PLANNED
144,8,15,4109,near_cap,FSSQL-R,3109,pi3bplus_near_cap_fssql_r_s4109_a1,600,100.0,1,B0,1,PLANNED
145,9,0,4110,natural,Round-Robin,,pi3bplus_natural_round_robin_s4110_a1,600,100.0,1,B0,1,PLANNED
146,9,1,4110,near_cap,Safe-Greedy,,pi3bplus_near_cap_safe_greedy_s4110_a1,600,100.0,1,B0,1,PLANNED
147,9,2,4110,natural,Threshold,,pi3bplus_natural_threshold_s4110_a1,600,100.0,1,B0,1,PLANNED
148,9,3,4110,natural,Unshielded-Q,3110,pi3bplus_natural_unshielded_q_s4110_a1,600,100.0,1,B0,1,PLANNED
149,9,4,4110,near_cap,Threshold,,pi3bplus_near_cap_threshold_s4110_a1,600,100.0,1,B0,1,PLANNED
150,9,5,4110,near_cap,Unshielded-Q,3110,pi3bplus_near_cap_unshielded_q_s4110_a1,600,100.0,1,B0,1,PLANNED
151,9,6,4110,near_cap,Greedy-Risk,,pi3bplus_near_cap_greedy_risk_s4110_a1,600,100.0,1,B0,1,PLANNED
152,9,7,4110,near_cap,Static-Light,,pi3bplus_near_cap_static_light_s4110_a1,600,100.0,1,B0,1,PLANNED
153,9,8,4110,near_cap,FSSQL-R,3110,pi3bplus_near_cap_fssql_r_s4110_a1,600,100.0,1,B0,1,PLANNED
154,9,9,4110,natural,FSSQL-R,3110,pi3bplus_natural_fssql_r_s4110_a1,600,100.0,1,B0,1,PLANNED
155,9,10,4110,near_cap,Round-Robin,,pi3bplus_near_cap_round_robin_s4110_a1,600,100.0,1,B0,1,PLANNED
156,9,11,4110,natural,Safe-Greedy,,pi3bplus_natural_safe_greedy_s4110_a1,600,100.0,1,B0,1,PLANNED
157,9,12,4110,near_cap,Static-Heavy,,pi3bplus_near_cap_static_heavy_s4110_a1,600,100.0,1,B0,1,PLANNED
158,9,13,4110,natural,Greedy-Risk,,pi3bplus_natural_greedy_risk_s4110_a1,600,100.0,1,B0,1,PLANNED
159,9,14,4110,natural,Static-Light,,pi3bplus_natural_static_light_s4110_a1,600,100.0,1,B0,1,PLANNED
160,9,15,4110,natural,Static-Heavy,,pi3bplus_natural_static_heavy_s4110_a1,600,100.0,1,B0,1,PLANNED
